test,algorithm,direct comparison,euclidean,manhattan,canberra,jaro-winkler,sorensen-dice,damerau-levenshtein
s5_n1,majority,,,,,1.0,1.0,1.0
s5_n1,truthfinder,,,,,1.0,1.0,1.0
s5_n1,nexus,,,,,1.0,1.0,1.0
s5_n1,crh,,,,,1.0,1.0,1.0
s5_n2,majority,,,,,1.0,1.0,1.0
s5_n2,truthfinder,,,,,0.9718207282913165,0.9294354838709677,0.9058823529411765
s5_n2,nexus,,,,,1.0,1.0,1.0
s5_n2,crh,,,,,1.0,1.0,1.0
s5_n3,majority,,,,,1.0,1.0,1.0
s5_n3,truthfinder,,,,,0.6694004241372662,0.6560386473429951,0.5
s5_n3,nexus,,,,,1.0,1.0,1.0
s5_n3,crh,,,,,1.0,1.0,1.0
s5_n4,majority,,,,,0.941731374572454,0.8787961447535915,0.8509870064967517
s5_n4,truthfinder,,,,,0.9385945014505733,0.8625568285142752,0.8219015492253872
s5_n4,nexus,,,,,1.0,1.0,1.0
s5_n4,crh,,,,,1.0,1.0,1.0
s10_n2,majority,,,,,1.0,1.0,1.0
s10_n2,truthfinder,,,,,0.9109749670619236,0.9116279069767442,0.826086956521739
s10_n2,nexus,,,,,1.0,1.0,1.0
s10_n2,crh,,,,,1.0,1.0,1.0
s10_n4,majority,,,,,1.0,1.0,1.0
s10_n4,truthfinder,,,,,0.9170481759955443,0.9091994996873046,0.8857142857142858
s10_n4,nexus,,,,,1.0,1.0,1.0
s10_n4,crh,,,,,1.0,1.0,1.0
s10_n6,majority,,,,,1.0,1.0,1.0
s10_n6,truthfinder,,,,,0.990909090909091,0.9853658536585366,0.9727272727272727
s10_n6,nexus,,,,,1.0,1.0,1.0
s10_n6,crh,,,,,1.0,1.0,1.0
s10_n9,majority,,,,,0.9008614496614497,0.8561076659189867,0.8333333333333334
s10_n9,truthfinder,,,,,0.9263281163281164,0.8387650085763294,0.8272486772486772
s10_n9,nexus,,,,,1.0,1.0,1.0
s10_n9,crh,,,,,1.0,1.0,1.0
s15_n3,majority,,,,,1.0,1.0,1.0
s15_n3,truthfinder,,,,,0.980334448160535,0.976923076923077,0.976923076923077
s15_n3,nexus,,,,,1.0,1.0,1.0
s15_n3,crh,,,,,1.0,1.0,1.0
s15_n6,majority,,,,,1.0,1.0,1.0
s15_n6,truthfinder,,,,,0.9923809523809524,0.980952380952381,0.980952380952381
s15_n6,nexus,,,,,1.0,1.0,1.0
s15_n6,crh,,,,,1.0,1.0,1.0
s15_n9,majority,,,,,1.0,1.0,1.0
s15_n9,truthfinder,,,,,0.8635178283873938,0.8357518780081868,0.7927536231884058
s15_n9,nexus,,,,,1.0,1.0,1.0
s15_n9,crh,,,,,1.0,1.0,1.0
s15_n13,majority,,,,,1.0,1.0,1.0
s15_n13,truthfinder,,,,,0.5276094276094276,0.4841025641025641,0.24684944684944687
s15_n13,nexus,,,,,1.0,1.0,1.0
s15_n13,crh,,,,,1.0,1.0,1.0
s20_n4,majority,,,,,1.0,1.0,1.0
s20_n4,truthfinder,,,,,0.9734891774891775,0.9517241379310345,0.9333333333333333
s20_n4,nexus,,,,,1.0,1.0,1.0
s20_n4,crh,,,,,1.0,1.0,1.0
s20_n8,majority,,,,,1.0,1.0,1.0
s20_n8,truthfinder,,,,,0.968909608909609,0.9403214535290007,0.9333333333333333
s20_n8,nexus,,,,,1.0,1.0,1.0
s20_n8,crh,,,,,1.0,1.0,1.0
s20_n12,majority,,,,,1.0,1.0,1.0
s20_n12,truthfinder,,,,,0.9539108653868379,0.9392340425531914,0.9294871794871795
s20_n12,nexus,,,,,1.0,1.0,1.0
s20_n12,crh,,,,,1.0,1.0,1.0
s20_n18,majority,,,,,1.0,1.0,1.0
s20_n18,truthfinder,,,,,0.7755781373500044,0.7747173531613383,0.6615384615384615
s20_n18,nexus,,,,,1.0,1.0,1.0
s20_n18,crh,,,,,1.0,1.0,1.0
